Crop Name,Value,Min Days,Max Days,Category
Avocados,3534.1,180,240,Trees & Perennials
Bananas,31733.4,270,365,Trees & Perennials
Broccoli,10161.2,55,75,Fast Annuals
Cabbages,16245.8,70,120,Fast Annuals
Carrots,12457.6,60,80,Root Crops
Cashew nuts,5354.4,90,100,Trees & Perennials
Cauliflowers,10161.2,50,80,Fast Annuals
Chicory roots,9054.7,120,140,Root Crops
Chili,4628.1,60,90,Fruiting Vegetables
Clementines,1128.3,180,240,Trees & Perennials
Cocoa beans,326.6,150,170,Trees & Perennials
Coconuts,4063.3,330,365,Trees & Perennials
Coffee,266,240,270,Trees & Perennials
Corn,3307.7,60,100,Fruiting Vegetables
Cow peas,1645.8,60,90,Fruiting Vegetables
Cucumbers,7116,50,70,Fruiting Vegetables
Eggplants,10842.3,70,90,Fruiting Vegetables
Ginger,6053.2,240,300,Root Crops
Grapefruits,5107.9,210,270,Trees & Perennials
Grapes,602.8,120,150,Trees & Perennials
Guavas,4002,90,150,Trees & Perennials
Lemons,2008.9,150,180,Trees & Perennials
Lettuce,4568.2,40,50,Fast Annuals
Lime,2008.9,150,180,Trees & Perennials
Mandarinas,1128.3,180,240,Trees & Perennials
Mangoes,4002,100,150,Trees & Perennials
Mangosteens,4002,150,180,Trees & Perennials
Okra,7483.2,50,65,Fruiting Vegetables
Onions,11840,100,120,Root Crops
Oranges,1612.7,180,240,Trees & Perennials
Papayas,20102.9,270,300,Trees & Perennials
Pepper,4628.1,60,90,Fruiting Vegetables
Pineapples,42578.6,540,730,Trees & Perennials
Pomelos,5107.9,180,240,Trees & Perennials
Potatoes,16080.7,70,120,Root Crops
Pumpkins,13556.6,90,120,Fruiting Vegetables
Rice,4165.4,100,150,Field Crops
Shallots,11840,90,110,Root Crops
Sorghum,6156.8,115,140,Field Crops
Spinach,2253.2,40,50,Fast Annuals
Strawberries,9588.5,90,120,Trees & Perennials
Sugar cane,52929.7,360,720,Field Crops
Sweet potatoes,5767.5,90,120,Root Crops
Tangerines,1128.3,180,240,Trees & Perennials
Taro,6753,210,360,Root Crops
Tomatoes,14682.1,50,80,Fruiting Vegetables
Watermelons,14965.8,80,100,Fruiting Vegetables
Yams,5166.1,180,360,Root Crops
Pechay,"12,000",35,50,Fast Annuals
Mustard,"13,000",40,60,Fast Annuals
Radish,"18,000",50,90,Root Crops
